movie_id,title,rating,meta_score,year,revenue,director_id
228,alien,8.5,89.0,1979,104931801,717.0
229,please dont destroy the treasure of foggy mountain,6.1,49.0,2023,0,654.0
230,gone girl,8.1,79.0,2014,369330363,193.0
231,saving private ryan,8.6,91.0,1998,481840909,829.0
232,the notebook,7.8,53.0,2004,115603229,627.0
233,the big lebowski,8.1,71.0,1998,47010480,
234,twilight,5.3,56.0,2008,393616788,124.0
235,the whale,7.7,60.0,2022,55101305,184.0
236,scarface,8.3,65.0,1983,66023329,108.0
237,blade runner,8.1,84.0,1982,41722424,717.0
238,fifty shades of grey,4.2,46.0,2015,571006128,769.0
239,back to the future,8.5,87.0,1985,381109762,740.0
240,the green mile,8.6,61.0,1999,286801374,260.0
241,a boy called christmas,6.7,61.0,2021,0,295.0
242,wind river,7.7,73.0,2017,44998252,839.0
243,john wick,7.4,68.0,2014,88761661,
244,holidate,6.1,44.0,2020,0,438.0
245,uncharted,6.3,45.0,2022,407141258,755.0
246,infinity pool,6.0,72.0,2023,5078400,104.0
247,barry lyndon,8.1,89.0,1975,198992,810.0
248,bone tomahawk,7.1,72.0,2015,0,761.0
249,10 things i hate about you,7.3,70.0,1999,53478166,294.0
250,the marsh kings daughter,5.8,46.0,2023,0,616.0
251,harry potter and the prisoner of azkaban,7.9,82.0,2004,789804554,29.0
252,good will hunting,8.3,71.0,1997,225933435,311.0
253,dont look up,7.2,49.0,2021,791863,7.0
254,the prestige,8.5,66.0,2006,109676311,154.0
255,"crazy, stupid, love.",7.4,68.0,2011,145079584,
256,joy ride,6.4,74.0,2023,36642838,11.0
257,men,6.1,65.0,2022,7168717,24.0
258,black christmas,7.1,65.0,1974,4053000,94.0
259,the banshees of inisherin,7.7,87.0,2022,49262687,547.0
260,the hunger games mockingjay - part 1,6.6,64.0,2014,755356711,257.0
261,prisoners,8.1,70.0,2013,122126687,215.0
262,trading places,7.5,69.0,1983,90404800,425.0
263,death on the nile,6.3,52.0,2022,137307235,485.0
264,man of steel,7.1,55.0,2013,668045518,917.0
265,renaissance a film by beyoncé,8.7,86.0,2023,0,
266,aquaman,6.8,55.0,2018,1148528393,354.0
267,shutter island,8.2,63.0,2010,294800000,548.0
268,harry potter and the chamber of secrets,7.4,63.0,2002,876688482,140.0
269,troy,7.3,56.0,2004,497409852,908.0
270,spider-man into the spider-verse,8.4,87.0,2018,375464627,
271,the dark knight rises,8.4,78.0,2012,1081041287,154.0
272,hypnotic,5.5,53.0,2023,9464308,734.0
273,call me by your name,7.8,94.0,2017,43143046,522.0
274,get out,7.8,85.0,2017,255407969,456.0
275,some like it hot,8.2,98.0,1959,25000000,89.0
276,meg 2 the trench,5.0,40.0,2023,384056482,78.0
277,love hard,6.3,42.0,2021,0,326.0
278,eternal sunshine of the spotless mind,8.3,89.0,2004,72258126,595.0
279,300,7.6,52.0,2006,456082343,917.0
280,were the millers,7.0,44.0,2013,269994119,704.0
281,arthur christmas,7.1,69.0,2011,0,
282,green book,8.2,69.0,2018,319700000,677.0
283,theater camp,7.0,70.0,2023,0,
284,top gun,6.9,50.0,1986,356830601,882.0
285,tenet,7.3,69.0,2020,365304105,154.0
286,12 angry men,9.0,97.0,1957,1000000,798.0
287,burlesque,6.4,47.0,2010,89519773,820.0
288,blackberry,7.4,78.0,2023,2600000,555.0
289,casino royale,8.0,80.0,2006,599045960,546.0
290,the lobster,7.1,82.0,2015,15656193,912.0
291,silent hill,6.5,31.0,2006,100605135,151.0
292,jack reacher,7.0,50.0,2012,218340595,153.0
293,fiddler on the roof,8.0,67.0,1971,83304330,638.0
294,memory,7.1,72.0,2023,13897255,594.0
295,the many saints of newark,6.3,60.0,2021,13037403,17.0
296,pirates of the caribbean the curse of the black pearl,8.1,63.0,2003,655011224,301.0
297,the longest ride,7.0,33.0,2015,63013281,292.0
298,a man called otto,7.5,51.0,2022,108961677,529.0
299,aliens,8.4,84.0,1986,183316455,343.0
300,no one will save you,6.3,60.0,2023,0,109.0
301,holiday inn,7.3,70.0,1942,0,
302,the deer hunter,8.1,86.0,1978,49000000,575.0
303,"are you there god? its me, margaret.",7.3,84.0,2023,21826840,481.0
304,the help,8.1,62.0,2011,216639112,837.0
305,terminator 2 judgment day,8.6,75.0,1991,520000000,343.0
306,la la land,8.0,94.0,2016,447407695,171.0
307,the truman show,8.2,90.0,1998,264118201,686.0
308,the sound of music,8.1,63.0,1965,286214286,739.0
309,the outsiders,7.0,45.0,1983,33697647,256.0
310,taxi driver,8.2,94.0,1976,28600000,548.0
311,fast times at ridgemont high,7.1,61.0,1982,27092880,34.0
312,evil dead rise,6.5,69.0,2023,146733054,507.0
313,hereditary,7.3,87.0,2018,82530552,63.0
314,her,8.0,91.0,2013,47351251,807.0
315,the irishman,7.8,94.0,2019,968853,548.0
316,catch me if you can,8.1,75.0,2002,352114312,829.0
317,the shining,8.4,66.0,1980,44781695,810.0
318,knives out,7.9,82.0,2019,312897920,710.0
319,next goal wins,6.5,44.0,2023,43089,834.0
320,the last voyage of the demeter,6.1,52.0,2023,21576744,45.0
321,air,7.4,73.0,2023,87078875,75.0
322,shes the man,6.4,45.0,2006,33889159,46.0
323,better watch out,6.5,67.0,2016,176288,143.0
324,how to have sex,7.1,80.0,2023,0,611.0
325,the fast and the furious,6.8,58.0,2001,207283925,719.0
326,tropic thunder,7.1,71.0,2008,195702811,77.0
327,nobody,7.4,64.0,2021,61779301,331.0
328,murder on the orient express,6.5,52.0,2017,352794081,485.0
329,the secret life of walter mitty,7.3,54.0,2013,188133322,77.0
330,christmas in connecticut,7.3,64.0,1945,3000000,678.0
331,love & other drugs,6.7,55.0,2010,102820008,232.0
332,the equalizer,7.2,57.0,2014,192330738,59.0
333,ford v ferrari,8.1,81.0,2019,225508210,351.0
334,aftersun,7.7,95.0,2022,4785157,134.0
335,mob land,5.2,47.0,2023,0,624.0
336,divergent,6.6,48.0,2014,288885818,616.0
337,totally killer,6.5,62.0,2023,0,613.0
338,taken,7.8,51.0,2008,226830568,695.0
339,strays,6.3,54.0,2023,32000000,464.0
340,dune,6.3,41.0,1984,402027830,199.0
341,the burial,7.1,74.0,2023,0,527.0
342,pretty woman,7.1,51.0,1990,463406268,270.0
343,renfield,6.4,53.0,2023,26348156,142.0
344,happiest season,6.6,69.0,2020,1401954,160.0
345,ghosted,5.8,34.0,2023,0,219.0
346,mulholland drive,7.9,86.0,2001,20271129,199.0
347,drive,7.8,79.0,2011,78054825,629.0
348,the man who invented christmas,7.0,60.0,2017,8096007,84.0
349,the lord of the rings the two towers,8.8,87.0,2002,926287400,680.0
350,sisu,6.9,70.0,2022,13009289,341.0
351,superbad,7.6,76.0,2007,170812526,305.0
352,ghostbusters,7.8,71.0,1984,296187079,334.0
353,green lantern,5.5,39.0,2011,219851172,546.0
354,cruella,7.3,59.0,2021,233503234,167.0
355,harry potter and the deathly hallows part 1,7.7,65.0,2010,954305868,210.0
356,the christmas chronicles part two,6.0,51.0,2020,0,140.0
357,good burger 2,5.4,48.0,2023,0,690.0
358,where the crawdads sing,7.2,43.0,2022,144353965,643.0
359,the abyss,7.5,62.0,1989,90000098,343.0
360,the godfather part ii,9.0,90.0,1974,102600000,256.0
361,the fifth element,7.6,52.0,1997,263920180,521.0
362,8-bit christmas,6.7,66.0,2021,0,580.0
363,black adam,6.2,41.0,2022,393252111,368.0
364,mr. & mrs. smith,6.5,55.0,2005,487287646,226.0
365,memento,8.4,83.0,2000,39723096,154.0
366,avatar,7.9,83.0,2009,2923706026,343.0
367,geralds game,6.5,77.0,2017,0,599.0
368,65,5.4,40.0,2023,55000000,
369,paper moon,8.1,77.0,1973,30900000,673.0
370,the nun ii,5.6,47.0,2023,231200000,574.0
371,cobweb,6.0,50.0,2023,5569593,771.0
372,boyz n the hood,7.8,76.0,1991,57504069,435.0
373,the dreamers,7.1,63.0,2003,15121165,82.0
374,the bikeriders,7.6,71.0,2023,0,375.0
375,deadpool,8.0,65.0,2016,783100000,858.0
376,alien covenant,6.4,65.0,2017,240891763,717.0
377,kill bill vol. 1,8.2,69.0,2003,180906076,698.0
378,last night in soho,7.0,65.0,2021,22957625,231.0
379,ready or not,6.9,64.0,2019,57615777,
380,the hobbit an unexpected journey,7.8,58.0,2012,1021103568,680.0
381,hidden figures,7.8,74.0,2016,235956898,849.0
382,point break,7.3,59.0,1991,83531958,478.0
383,skyfall,7.8,81.0,2012,1142471295,767.0
384,barbarian,7.0,78.0,2022,45352337,915.0
385,the hateful eight,7.8,68.0,2015,155760117,698.0
386,2001 a space odyssey,8.3,84.0,1968,71923560,810.0
387,meet me in st. louis,7.5,94.0,1944,7566000,894.0
388,birds of prey,6.1,60.0,2020,0,125.0
389,the nutcracker and the four realms,5.6,39.0,2018,59522646,
